Workout Date,Tag,Workout Header,Workout Full Details,Comments
"Thursday, October 14th, 2021",Completed,Rest day,,
"Wednesday, October 13th, 2021",Completed,heavy pull with glute accessory,"A Deadlifts:
5 sets of 10 reps at 75-78% of 10rm 
rest 2-3 mins between sets
during rest stretch the lats and prep the pec and rear delts with some band work
band fly and band rear delt are good choices
Results: Did 205 this time. All for 10. Still squirrelly but working with it.

B Banded Lat Stretch:

Results: 

C Hurdler Stretch:

Results: 

D Twister:

Results: 

E HAPPY HIPS:
4 sets of 8 step each way 
rest 60-90 seconds
Results: ✅ my blue band

F Barbell Hip Thrust on Bench:
rest pause theory
so you will find a wt that is tough for 9-12 reps
then rest 20 seconds
do amrap
rest 20 seconds
do another amrap
rest 2 mins
for 2 sets 
rest 2 mins
Results: Did this on a machine at rise. 

All sets, all reps were 12. Still getting used to the movement w the hamstring

45 on each side for round one. 45+15 on ea side for round 2

G Banded Russian Kettlebell Swing:
5 sets of 15-20 reps
rest 1 min
Results: 24 kg w red band all for 20

H lunges 20 reps:
10 steps per leg
barbell loaded on back! 
rest 90 seconds
Results: Wasn’t sure on the # of rounds - I did 3
95/115/115

","Todd Roselle: Done at Rise: 1:25 total time
Jud Dean: Yes 3 and good load we will keep working these dead’s good progress on that buddy"
"Tuesday, October 12th, 2021",Completed,Workout,"A 21-15-9:
db thruster 50s 
burpee
rest half the work 
x 3 sets
Results: This was the worst one I’ve done in a long time. I was fighting w muscle fatigue and my breath. 

Round 1: 6:30
21: ub, 15: 9/6, 9: all ub for all rnds
Round 2: 7:57
21: 15/6, 15: 9/6, 9: ub
Round 3: 7:49
21: 7/7/7, 15: 9/6, 9: ub

Total time: 30:29

B 12-6-3:
renegade row
db bench press incline 
elbow supported knee tuck
so 12 of each 
6 of each 
3 of each 
rest 2 mins
x 4 sets
Results: 30lbs on the row
60lbs on the bench - ub on the first 2 rounds, 11 reps on round 3 and 8/4 on round 4

C Renegade Row:

Results: 

D jacob ladder:
2 min work
2 min rest
x 5 sets
Results: ✅

","Todd Roselle: 1:40 total time at rise. 

This one was a burner! Good day!!!
Jud Dean: Yes A work with the threshold intervals man all pain work way to go after it man 

Well done excited to see you Monday buddy"
"Monday, October 11th, 2021",Completed,Workout,"A 2000 meter row every 2 mins do 15 sit ups:
2000 meter row every 2 mins get off rower and do 15 sit ups until you reach 2000 meters
Results: 11:05.0

All rows were 1:50 and under

B 2000 meter ski or 2400meter run every 2 mins do 15 push ups:
2000 meter ski every 2 mins get off ski and do 15 push ups until you reach 2000 meters or 2400 meters
Results: 10:52.7

Broke up push ups from the start. Most were 9/6. Last 2 rounds were 2 quick breaks

","Jud Dean: good movement buddy nice work to get the week started
love that the row is progressing again!"
"Sunday, October 10th, 2021",Completed,lifting and metcon,"A 30 min build up:
20 cal bike nice smooth turn over nothing crazy
5 tng pwr clean and jerk
build the load on the clean and jerk 5-10lbs per set but keep unbroken
Results: Bike turnover was good. Mostly right around 61 rpm, some faster some slower but all smooth

Bike - weight
1:57 - 115
1:55 - 125
1:48 - 135
1:43 - 145
1:45 - 155
1:51 - 160
1:49 - 165
1:48 - 170
+17

B 5 rds for time:
10 bar facing burpee
5 hang pwr snatch 135lbs
Results: Breathing was the limiting factor here. Last round was only :60
Last 2 rounds were cycled for the snatches (all snatches were ub) - felt heavy to start

6:50

C Over the rig band pull aparts:
100 reps
Results: Red band ✅

","Todd Roselle: This was the last round at 170. Felt good.
Jud Dean: Yes that is all in the pain cycle where breathing capacity will be the limiting factor not the load open style!! Good push just keep building the ceiling so you can push harder but not hit threshold"
"Saturday, October 9th, 2021",Completed,breathing work,"A Breathing work try this:
if its easy we can move up to a harder level so let me know how you feel

10 breaths done as
5 sec inhale 
5 sec exhale
* use the nose only so mouth is closed
hold breath until the urge to breathe
9 breaths done same as above
working your way down to 
3 breaths

end with 10-15 more mins of grounding
i like this work to be done grounded if possible
if not that is ok 

try to do this 1x daily for a few weeks
Results: Def a feeling of peace and meditation. Just need to make the time to keep doing this. 

What is the main or are the main benefits of this?

","Jud Dean: I would suggest if you can atleast 1x daily 
Perfect world before bed 
And before all meals
Most benefits are around digestion and nervous system but some aerobic benefits as well"
"Friday, October 8th, 2021",Completed,engine work day,"A engine work day:
lets start with this goal and see how it plays out for you
7 sets of 
400 meter run
400 meter row
.5 mile bike air bike
3 min rest 
goal of 430-445 per round
Results: 4:40
4:39
4:41
4:42
4:52
4:46
4:52

400=JERRYS MAILBOX
Rows were all around 1:36 - damper at 5
Run tailed off and I think my transitions got sloppy as I got tired. 

Did it correctly this time w the 3 min rest 

Will do Thursdays tomorrow at Rise

",Jud Dean: Awesome job and pretty darn close to that goal pace good building the engine on we we get them all in range we can decrease rest time
"Thursday, October 7th, 2021",Completed,Workout,"A pull ups:
5 sets of 8 reps
add load if you can
these are strict
Results: All ub. Round 2 I had an extra 10lbs and then didn’t have extra weight for the rest. Wanted to go ub

B RNT Romanian Deadlift:
keep lighter let band resistance be tough
3 sets of 8 working 2 sec negatives make the lats work!
rest 1-2
Results: ✅ 95 lbs w red bands

C yates row:
pulling off 4 inch block
so wt wil not be on the floor but on blocks or plates
3 sets of 8-10
rest 1-2 mins mins
Results: 95 lbs

D wide grip lat pull down:
3 sets of 8-10
rest 1 min
Results: 140/180/200 w straps all were 8 repa

E single arm db row:
3 sets of 10-12
rest 1 min
Results: 75/85/85 lb db. All were 10 reps

F Standing Calf Raises:
3 sets of 12-15
hold stretch postion 3 seconds
Results: 140/160/180 all were 15

","Todd Roselle: At Rise
Jud Dean: Good work next time you do this one don’t count that 140 as a working set my man!!! Good lifting keep working those numbers up
Todd Roselle: Nice! Sounds good.
Jud Dean: Enjoy your weekend buddy 
Appreciate you man excited to chat with you and Katie again soon"
"Wednesday, October 6th, 2021",Completed,Rest day,,
"Tuesday, October 5th, 2021",Completed,10 work 5 rest,"A 10 min work sustainable 80%:
8 cal ski
8 walking lunges 
8 cal bike
8 walking lunges
Results: 5+2

B 5 min rest walking:

Results: ✅

C 10 min work sustainable 80%:
10 cal ski
10 ghd hip ext
10 cal bike 
10 ghd hip ext
Results: 4+4

D 5 min walking:

Results: ✅

E 10 min wokr sustainable 80%:
12 cal ski
12 ghd sit ups 
12 cal bike
12 ghd sit ups
Results: 3+24

F 5 min walking:

Results: ✅

G 10 min work sustainable 80%:
14 cal ski
14 air squats
14 box jump step down
14 cal bike
Results: 3 rounds even

","Todd Roselle: Felt good all the way through. Didn’t fade in the middle or toward the end. Was even able to push for that 3rd round in the final workout. 

Done in the garage.
Jud Dean: Awesome man well done!!! Freaking awesome mixed work getting touches and learning pace for comps 

If we decide to go really all in after games I would like to lay out a year long phase approach and plan deloads plan trying to go to a comp or two for practice ect something to think about if you go that route of comps
Todd Roselle: Ok. I am going to sign up for the green beret project Comp on January (8th and 9th) as the next goal. See how that goes. Team of 3 masters. I’ll b w billy Murphy and Matt king
Jud Dean: Love it man that will be fun"
"Monday, October 4th, 2021",Completed,Workout,"A1 overhead triple ext med ball throw:
broad jump into the throw 2-3 reps
if you have several balls do them all in a row so not walking after the ball
Results: 30lb med ball x 3 ea time

B Segmented Clean Grip Deadlift - 3 Pauses:
5 sets of 2 reps
use straps so grip is not limiting factor feel the postion
rest 90-120 seconds streng work make it work
Results: 185 x 1
205 x 4

C for time burrner:
21 double unders 
15 hang pwr cleans a load you need to take 1 break to get the 15
9 cals out of the seat concept 2 bike damper at 10 
amrap in 5 mins
rest 5 mins
x 2 sets
Results: 2+40
2+43

Done w 115 for the hpc- in round 1. 10/5

125, for round 2 - was able to push a little harder this round after knowing the stimulus. - 10/5

","Todd Roselle: 
Jud Dean: i like that 205 on the dead!!! good stuff buddy!!!
Jud Dean: the shoulder looks great on the catch!
i like this workout for you because if preps teh system really nice!
Jud Dean: that shoulder does not look to be hunting for stability at all!!!!
Todd Roselle: Shoulder felt good. Just finding the ""new"" hamstring push - trying not to be too right leg dominant. Weight was fine. Not sure where the new 1RM is so I worked off approximately 200 assumption as the 1RM
Jud Dean: workking in a way to build up and find a clean and jerk max
and then fridays we will work some of those oly lifts so you are open ready for that
Todd Roselle: Sounds great!"
"Sunday, October 3rd, 2021",Completed,Rest day,,
"Saturday, October 2nd, 2021",Completed,Workout,"A1 Hip thrust dumbbell press:
12-15 reps
Results: 30x2x15
40x3x15

B1 Chest Supported Incline Dumbbell Row:
15 reps
reps 1-5 work 3 sec negative
reps 6-15 normal tempo
Results: 50 lb db

C bike erg and air dyne:
2 mins out of the seat damper 10
3 min air bike easy ride
20 banded side rasies
20 banded curls
x 5 sets
Results: Done on echo - standing part was awkward but was still able to get to 55rpm while standing

",Jud Dean: Good work yeah standing on echo will be funny feeling for sure solid woek pal
"Friday, October 1st, 2021",Completed,Workout,"A 5 k row:
5 k row for time
every 4 mins running clock
do 1 rd of 
12 deadlift
9 hang pwr clean
6 push press
at a load you can do unbroken
adjust load as you like but stay unbroken
Results: Holy cow. 
29:52.7

Damper set to low 5
First 3 sets were at 115 - forearms failed me. Next 4 sets at 95. All ub

Breather for sure.

","Todd Roselle: Done in garage on my rower
Jud Dean: Great work awesome push that one is nasty moving well like sub 30 good push on that pal building back the machine
Todd Roselle: Def feeling good. I was only 170 cals away from cutting off another round of dt. Def the goal for next time.
Jud Dean: Love it will see it again"
"Thursday, September 30th, 2021",Completed,Assess your meals,"A Education on Veggies:
We believe in bioindividuality. That means we are honoring you as a person, your unique immune system, your unique digestive system, your lifestyle, and your goals. This is why we love to get lab information for more detailed information about your type. What foods your immune system, and digestive system do the best with and then align that protocol with your goals and lifestyle. Some things however are universal truths. We all need to eat adequate amounts of vegetables. The kind of vegetables will vary depending on our bioindividuality and our lab testing, but we all need to consume them. Assess your current diet and try to get to 5-10 servings per week. A simple way to do this is to start by adding 1 serving more per week until you can get to this range. Once we get into the 5-10 serving range we can discuss going even higher on these. This is a baseline goal for optimal, we want to be getting 5-10 servings a day. 

This is not going to happen overnight if you are not a vegetable eater so take your time and we can discuss on a call which vegetables and preparation style may be best for your goals and bioindividuality.
Results: ✅ - getting avg of 2 servings/day

",No comments
"Wednesday, September 29th, 2021",Completed,Workout,"A 3 min work 1 min rest:
20 ghd sit ups 
10 burpee box get overs 
in remaining min
amrap of db snatch 
follow this pattern until you get to
a total of 80 db snatch 
60 lbs (push yourself on the db load if you can go up a little go for it)
Results: 60 lb db for the snatch
Rounds were:
30
28
22
Time: 8:43

B1 barbell curl:
21's
Results: 50lb barbell ✅

C First Rib:

Results: ✅✅✅

","Todd Roselle: These should all be fine on the right shoulder, even with the tenderness.
Jud Dean: ok good! hit the first rib with the ball as well mobilty listed
Jud Dean: Good work buddy nice job was shooting for sub 10 so nothing to it can progress in load or volume"
"Tuesday, September 28th, 2021",Completed,Workout,"A Back SquatS:
5 SETS OF 5 REPS
AT 80%
BUILD UP THEN DO YOUR 5 WORKING SETS AT THE 80% RANGE
REST 2 MINS
Results: Warmed up then did 
275 for 3 sets x 5 reps
295 x2 x5 (still not sure where my 1RM is and I was feeling good after 3, wanted to see how this get. It did fee
Heavy but got to 5 fairly easy

B 60:
60 AIR SQUATS 
60 DOUBLE UNDERS
60 THRUSTERS 45LBS BARBELL
60 CAL ROW 
REST 4 MINS
Results: 7:57
Sq ub
Du ub 
Thrusters - 40/10/10
(Row was 3:31)

C 40:
40 AIR SQUATS
40 DOULBE UNDERS 
40 THRUSTERS 55LBS BARBELL
40 CAL ROW 
REST 2 MINS
Results: 5:37
Sq and du were ub
Thrusters we’re 20/10/10
Row was 2:30

D 20:
20 AIR SQUATS 
20 DOUBLE UNDERS
20 THRUSTERS 65LBS 
20 CAL ROW
Results: 2:41
All ub
Row was 1:08

","Jud Dean: 1RM NOT REALLY WORKTH RISK REWARD
YOU CAN USE DAYS LIKE THIS TO WORK CALCUATE THOUGH WHEN YOU FEEL GOOD
SO SAY YOU HIT 315 X 5 THAT 1RM WOULD CALCUATE TO 363TODAY YOU JUST FELT AWESOME SO WENT UP SOME WHICH IS WHAT WE WANT TO DO WE DONT WANT THE % IDEAS TO TRAP US FROM GROWTH
OR HURT US WHEN WE HAVE AN OFF DAY AND FORCE A % THAT FEELS HEAVY

THAT BEING SAID
TODAY YOUR 295 X 5 CALCUATED TO 340
Jud Dean: AWESOME WORK BUDDY THIS IS A GOOD SCORE! HAVE HAD A FEW OTHERS DO THIS YOU ARE WAY AHEAD! AND I KNOW YOU HAVE MORE POTENTIAL TO GO EVEN FASTER IN ANOTHER FEW MONTHS!!!
Todd Roselle: Completely understand where you're coming from on the squats. In some ways, I still feel like I don't know where my capabilities are (or where I'm comforable for that matter) - seems like 275 was a struggle a few months back - 295 today felt good (not truly easy, but not super hard either. That said, I know I'm not ready for 315 at 5.

Also, right shoulder is still tender a bit. I worked on pec minor w the ball and rear delt the last couple of days.
Jud Dean: yes also hit the lat! that helps the shoulder a lot as well!!
i like to reach across my body to the pull up bar so right arm holding bar about where my left shoulder is...then lean hips to the right and hunt for tight spots i usually stand on a a box to get in the best spot and even hang one leg off the got to get more wt hanging but not full body wt"
"Monday, September 27th, 2021",Completed,Workout,"A grinder:
10 burpee pull ups 
15 hammer curls
10 ghd hip ext
15 diamond push ups 
10 cal row 
x 20 mins work
10 min rest
then
10 hanging knee tucks
15 skull crushers
10 ghd sit ups 
15 sit ups
10 cal ski
x 20 mins
10 min rest
then 
5 man makers
10 cal bike
15 db thrusters
x 20 mins
Results: Hammer Curls - 30lb db
Skull Crushers - 30lb db
Man Makers - 30 lb db
Thrusters - 40 lb db

5+25
4+51
5+10

",Jud Dean: I like because you get accessory work in with the aerobic work
"Sunday, September 26th, 2021",Completed,Rest day,,
"Saturday, September 25th, 2021",Completed,Workout,"A1 Band Retracted DB bench press:
8-10 per side
Results: Red/40

B 6-12-24:
6 DB BENCH PRESS
12 DB FLY
24 PUSH UPS 
REST 2 MINS EASY BIKE
X 3 SETS!
BURNER!!!
Results: 30/50/push up

C Bottoms up carry:
one arm at time
10 steps out forward
10 backwards 
switch arms
x 3 sets
Results: 16kg kb

",Jud Dean: Great scapula work buddy awesome job
"Friday, September 24th, 2021",Completed,with todd,"A 10 rds of:
12 cal ski
4 sandbag clean to shoulder 2 per side
8 ctb pull ups 
16 wallball shots 
partner goes you rest 
10 rds each! 
build the pace as you go
Results: At rise - not as hot as the garage last time

Sandbag was 80lb D Ball
Everything was ub

2:16
2:00
2:02
2:01
2:00
1:57
2:04
1:59
2:02
2:08

Got tough, kept going

B for time:
100 double unders
1000 meter row
50 double unders
500 meter row 
25 double unders
250 meter row
Results: 9:07
Lowered the wheel to a low 5, Rows were 2:00/ 1:57/ 1:46 - increased to a 6 for the last round. 

All du were ub

","Todd Roselle: At rise. 1:20 total
Jud Dean: If you can work the damper at 4-5 it will help the aerobic side a lot teach you faster turn over for building the engine my man 

Great work way to push to keep the time but not total smash mode awesome session"
"Thursday, September 23rd, 2021",Completed,Rest day,,
"Wednesday, September 22nd, 2021",Completed,body wt only work running and burpee,"A death by 10 meters:
run 10 meters further each min
rest the remaining time of the min 
you go until you do not make the distance in the min
Results: 17 completed 
Missed 18

B part b burpees sprints:
40 sec amrap burpee to touch 
20 sec rest 
x 10 sets 
record number of burpees each set
goal is amrap each set redline effort
Results: 15
14
10
11
11
11
10
11
11
11

","Jud Dean: Way to go out and hold on!!

Great engine day good push buddy"
"Tuesday, September 21st, 2021",Completed,gainwork and for time work,"A1 every 90 seconds:
every 90 seconds
5 sumo stance deads
and 5 convential stance deads
135 to 205 range
build as you go if you feel good
Results: 135, 155, 175, 185 x 3

B 14.4 style open workout:
30 cal row 
20 t2b
30 wallball 
10 pwr clean 135
5 bar muscle ups
rest = work 
x 2 sets
Results: 5:50
5:50

T2b - 12/8
Wb - 20/10
Pwr cl - single
Mu - ub

C iron scap:

Results: ✅

","Todd Roselle: Right shoulder a little tender. Nothing big
Todd Roselle: Done at rise
Jud Dean: Good msn roll out that rear delt and 1st rib

Pec minor as well"
"Monday, September 20th, 2021",Completed,Workout,"A 3 sets:
100 meter sled drag
18 t2b
50 meters sled push
18 ghd sit ups 
200 meter run
15 V ups still same number here 
rest 3 mins
Results: ~7-7:30/round 

45+25 on the sled
T2b and ghd were ub

B 3 sets of:
sled push ( down and back 10 yards 3 trips)
150 meter ski sprint
sled push doen annd back 10 yard 3 trips
rest 3 mins
Results: 1:46
1:45
1:41

45+25 on the sled

C 30 pwr snatch for time 135 lbs:

Results: 4:29

Singles. legs got spicy.

","Todd Roselle: At Rise
Jud Dean: Yes t2b very nice

Nice push in 30 rep let’s work that down to 330 would be good goal
Todd Roselle: Sounds good - 3:30 is the goal.
Jud Dean: love it will add in for a retest in about 6 weeks buddy!"
"Sunday, September 19th, 2021",Completed,Workout,"A Row WITH TEAM:

Results: 1:45 pace

1000/750/500/500/500/500

",No comments
"Saturday, September 18th, 2021",Completed,COMP,"A COMP:

Results: 1st place

215 on the pwr cl, hang cl thruster complex

Dt w a twist at 115, alt w partner plus a high five under the bar for every burpee (5 burpee over bar after the m/f both do 1 runs of dt - 10 min and got into the 11th round

",Jud Dean: Love when I see 1st place
"Friday, September 17th, 2021",Missed,Workout,"A1 Push Press:
8 REPS
2-0-X-1
3 SEC DOWN
0 AT BOTTOM
XPLODE UP
1 SEC STAY TIGHT GET AIR AT THE TOP 
MOVE TO A2

NOTHING HEAVY HERE JUST STIMULTE SOME MOVEMENT FOR TOMORROW EVENT
Results: 

B ROW INTERVALS:
10 CALS EVERY MIN ON THE MIN X 15 MINS
BUT GOAL IS GET THE 10 CALS AS QUICK AS YA CAN 
GET A NICE WAKE UP HERE LETTING THE BODY KNOW ITS ABOUT TO GO FAST TOMORROW
Results: 

C IRON SCAP:

Results: 

",No comments
"Thursday, September 16th, 2021",Completed,bike,"A bike:
1 min bike at 1.75x bw in watts 
1 min bike at 1//2bw in watts so 200 lbs would mean i bike at 100 watts for 1 min
do this for 30mins
Results: This one was tough. Took 3 breaks and had to drop the 1.5 round to 1.0 after round 12

11.42 miles biked

B Single Arm Elbow on Knee External Rotation:
4 sets of 10
Results: 10lb db

C step mill or wt vest step ups:
15 mins
Results: 15 min, 250 step us at 20” box

D Rear delt on floor:
4 sets of 15-20 on each side
rest is other side working
Results: 5lbs

",Jud Dean: Good push these will build the engine asap
"Wednesday, September 15th, 2021",Completed,Rest day,,
"Tuesday, September 14th, 2021",Completed,Workout,"A mixed work:
5 strict hspu
50 ft sandbag carry
5 ring dips
50 ft sand bag carry
x 5 rds
Results: ✅ 100lb sandbag
Took about 2:15/round

B core burner:
ski 10 cals
crunch burner series 
10 reps of each thing
x 10 mins amrap
Results: 5 rounds even

C Crunch burner series:

Results: ✅

D gymnastics fun to finish:
50 ctb pull ups 
50 t2b 
split them up as you desire
but every min on the min
do 20 double unders
Results: 8:25

Round 1 - 30 pull ups 25/5
2 - 10 t2b 5/5
3 - 10 t2b 5/5
4 - 10 t2b 5/5
5 - 13 ctb 7/4/3
6 - 12 t2b 6/4/2
7 - 8 t2b 4/2/2
8 - 7 ctb

","Todd Roselle: Done at Rise
Jud Dean: SOLID WORK PAL
SUB 10 IS VERY SOLID!!!
Todd Roselle: Nice! Good to hear!"
"Monday, September 13th, 2021",Completed,Workout,"A 30 min amrap of:
100 yard run
1 cluster (clean to thruster)
done every min on the min build load as you go
Results: 95x8
115x7
125x6
135x5
155x4

B 15 min climb the ladder:
incline db bench press 2-4-6-8-10 -ect 
2 rear foot elevated split squat per leg 
then 4-6-8-10 ect
Results: 50s for the incline - got to 14 here (from 2)
25lb dbs in ea hand - got to 12 here

C Rear Foot Elevated Split Squat:

Results: ✅

D Crunch burner series:
15 reps of each style
bike 3 mins
x 5 sets
Results: ✅

","Todd Roselle: Done at RISE
Jud Dean: Great session buddy"
"Sunday, September 12th, 2021",Completed,BIKE LACTIC WORK,"A 5 MIN EASY BIKE WARM UP:
30 SEC DONE AT YOU COULDNT DO 32 SECONDS 
SO VERY VERY HARD WORK 
GO HOT FIND THE HOLD AND TRY TO SUSTAIN BUT SHOUDL BE DEAD AT 31 SECONDS 
REST 6 MINS DOING MOBLITY WORK AS WELL AS 2 SETS OF 
10 RING PUSH UPS 
15 RING ROWS
20 BUTTERFLY SIT UPS 
X 5 SETS OF THIS
Results: Never pushed harder on this one. So hard, I couldn’t get the ‘rest’ work in. 

Round - distance - cals - avg rpm - max rpm
1 - .30 - 23 - 96 - 100 (wow!)
2 - .29 - 22 - 95 - 97
3 - .28 - 20 - 92 - 96
4 - .26 - 14 - 86 - 88
5 - .28 - 18 - 91 - 94 

This one hurt! Bad! lol

","Jud Dean: That is pushing good solid day pal recover well
Todd Roselle: Thanks man. I was pleased after the 50/diane/50 workout. Just wasn't feeling it that day. I like the outcome of today. have a great sunday.
Jud Dean: Yeah some days it’s just off a little man"
"Saturday, September 11th, 2021",Completed,Rest day,,
"Friday, September 10th, 2021",Completed,testing work very hard,"A 50..dianne....50:
50 cal row 
into
dianne at 165lbs/125
21-15-9
deadlfits and hspu
into 
50 cal row 

slightly heavier deads then last time
Results: Eh - Did this one at 2:30p. Didn’t feel ready this morning. 

Deads @ 165
Row: 1:35.5
Diane - 5:16
Deads - 7/7/7, hspu - 21
9/6, 10/5
9, 6/3
Row: 1:40.5

Total time: 11:01

Felt heavy and slow.

B1 Ab Roll Out:
4 sets of 12-15 
rest 1 min
Results: Did this on Sunday - my timing didn’t work Friday

4 rounds. 12 ea round

C iron scap:

Results: Done! ✅

","Jud Dean: Smart to wait 
Did the wt feel heavy or did your body
Todd Roselle: My body felt heavy. I didn’t feel fast. But at the same time, I did 21 hspu in a row…so it must nit have actually been too heavy, just sluggish
Jud Dean: Yeah 21 straight Is great!!

Check you hydration just be mindful of it see if that helps sluggish feel and hit some contrast showers"
"Thursday, September 9th, 2021",Completed,Rest day,,
"Wednesday, September 8th, 2021",Completed,engine work day,"A engine work day:
lets start with this goal and see how it plays out for you
7 sets of 
400 meter run
400 meter row
.5 mile bike air bike
3 min rest 
goal of 430-445 per round
Results: 4:36.33
4:29.05
4:28.19
4:28.51
4:30.81
4:38.07
4:29.77

Tried to go 4:30 for all after the first one. Missed one.  The rest were pretty close.

","Todd Roselle: Shit…I just realized, I didn’t rest between sets! Whoops and my distance was wrong for the run… Fck. Will have to redo. Totally messed this up
Jud Dean: Ok we can run it back buddy 

i fgured something was off when i saw no rest and still hit those times
its tough to hit them on repeat without a fall off"
"Tuesday, September 7th, 2021",Completed,heavy pull with accessory arms and glutes,"A Deadlifts:
5 sets of 10 reps at 75-78% of 10rm 
rest 2-3 mins between sets
during rest stretch the lats and prep the pec and rear delts with some band work
band fly and band rear delt are good choices
Results: 185 x 5. These still feel squirrely. The calf is tight because the hamstring got pulled so tight in the surgery. Got them done and concentrated on form. The weight is going up, little by little.

B Banded Lat Stretch:

Results: 

C Hurdler Stretch:

Results: 

D Twister:

Results: 

E HAPPY HIPS:
4 sets of 8 step each way 
rest 60-90 seconds
Results: ✅

F Barbell Hip Thrust on Bench:
rest pause theory
so you will find a wt that is tough for 9-12 reps
then rest 20 seconds
do amrap
rest 20 seconds
do another amrap
rest 2 mins
for 2 sets 
rest 2 mins
Results: 65 lbs. 

10-10-10 x2

Just trying to get used to this feeling and hit the muscles correctly.

G Banded Russian Kettlebell Swing:
5 sets of 15-20 reps
rest 1 min
Results: 24kg kb w red band x5

H1 Barbell Reverse Curl:
12-15 reps
Results: 45 lbs x 12 all sets

",Jud Dean: Keep rolling bottom of feet daily too
"Monday, September 6th, 2021",Completed,Rest day,,
"Sunday, September 5th, 2021",Completed,Workout,"A enjoy a long bike ride or walk session:

Results: ✅

B am lifting session:
ski and press/pull
15-20-25-30-25-40 cal ski
after reach ski work
odd sets
quad drop db incline press
5 reps decrease load
10 reps decrease load
15 reps decrease load
20 reps done
even sets 
quad drop set soreson db rows
5 reps decrease load
10 reps decrease load
15 reps deecrease load
20 reps done
rest is 3 min easy bike ride
Results: Presses were 55-50-40-30
Rows were 50-40-30-20

",No comments
"Saturday, September 4th, 2021",Completed,grounding walk mediate relax,"A 30-45 mins:

Results: ✅

B Breathing:

Results: ✅

C Breathing and walking:

Results: ✅

D meditation and breathing:
these are vital for hormones
and vital for yoru circadian rythem
they will help you sleep better
if sleep is still and issue priortize these 

during this meditation also use teh power of visulazation
start to see yourself heathier 
see yourself at your goal wt
with goal body
breath relax and enjoy
Results: Was good. Still need to get better at the timing of the breaths and consistency.

E1 Handcuff Stretch:
hold for 2-3 sec
x 10 reps
move to e2
Results: ✅

F Banded hamstring mobility:
45 sec per side
move back to e1
x 10-15 mins
Results: ✅

",Jud Dean: Good man enjoy the long weekend buddy
"Friday, September 3rd, 2021",Completed,breathing work,"A Breathing work intervals:
27-21-15-9
cal bike
hang pwr clean 95-115 range quick turn over not a lot of breaks so a wt you can move quick and steady with no more then 1-2 breaks per rep range 
rest = work
2 sets!
Results: All HPC done at 115

Round 1:
Most bike rpms were right around 59/60
Cleans: 17/10, 14/7, 15, 9
9:50

Round 2:
Most bike rpms were right around 56/58
Cleans: 20/7, 21, 15, 9
9:56

B1 Crossbody band pull - low to high:
12-15 reps per arm
Results: Used the green crossover sym bands on the rig. Worked well

",Jud Dean: Great work man learning to go fast again is fun
"Thursday, September 2nd, 2021",Completed,leg and pull post,"A1 single leg leg ext:
12 per leg
Results: Green band at hime

B1 Leg Press single leg work:
15 reps 
working 3 sec neg
on reps 1-5
2 sec hold at bottom reps 6-10
normal tempo 11-15
x 4 sets
Results: 136 back squat at home

","Jud Dean: Nice work on the pull ups pal!!!
Jud Dean: Great pr
Todd Roselle: Thank you!
Jud Dean: U should be pumped about that sub 2 soon"
"Wednesday, September 1st, 2021",Completed,Rest day,,
"Tuesday, August 31st, 2021",Completed,Cardio push pull,"A 45 min cardio:
every 3 mins 
get off do 
10-15 push ups 
5-10 pull ups strict wide for half underhand for half
Results: First 20 min on the rower. The rest was on the bike 
15 push ups ea round
10 pull ups ea round

",Jud Dean: Very good session engine and scapula working man solid day those add up
"Monday, August 30th, 2021",Completed,Burpee lunge press,"A 5 sets of:
20 lunge steps out 
20 lunge steps back 
1 db overhead 1 db at side 
20 db floor press alt arms not working arm hold up 
10 burpee lat jump over db 
rest 1 min
Results: Lunge w 35lb dbs
Floor press 55lbs

B 15 min amrap:
5 single leg rdl per side 
5 single arm ohs 
10 single leg v up per side
Results: 6+10

35 lb db

C Leg curl machine:
5 sets of 6 reps 
working 2 sec hold at end range 
3 sec negative so 
approx 6 sec per rep
rest 1 min
Results: 35lbs on machine

",Jud Dean: good day for you pal welcome home buddy local summer here we come
"Sunday, August 29th, 2021",Missed,dumbbell dt progresssion,"A db dt:
5 sets of 
2 rds of DB D.T. workout
rest 90 seconds between sets
so you do a total of 10 rds of dt
but its done as 2rds at a time making a set
Results: 

B Lat Pull Down machine:
5 sets of 8-12 reps 
rest 60 seconds
Results: 140x10x5 sets
Done on Monday.

C Rear delt on floor:
5 sets of 20
rest is other arm working
Results: 

D Iron Cross alternating dumbbell raise:
3 sets of 20 reps
rest 60 seconds
Results: 

",No comments
"Saturday, August 28th, 2021",Completed,Rest day,,
"Friday, August 27th, 2021",Missed,pool workout and beach workout,"A1 Pool - tread water:
3 min tread 
2 min tread 
1 min tread 
1 min less each rd
Results: 

B beach workout:
2 lines 20 yard apart
bear crawl down
2 push ups...4....6...8...10
lunge back
2 push ups...4....6....8.....10
follow this pattern going up for 20-30mins climbing the ladder
Results: 

",No comments
